 # t (ps)        h(t)        n(t)    
  0.165500015       1.42501414      0.342035890    
 # t (ps)        h(t)        n(t)    
  0.166000009       1.40336192      0.342715502    
 # t (ps)        h(t)        n(t)    
  0.166500002       1.42928684      0.343407631    
 # t (ps)        h(t)        n(t)    
  0.167000011       1.43143249      0.344100803    
 # t (ps)        h(t)        n(t)    
  0.167500004       1.29022658      0.344725609    
 # t (ps)        h(t)        n(t)    
  0.168000013       1.26824045      0.345339775    
 # t (ps)        h(t)        n(t)    
  0.168500006       1.29411900      0.345966488    
 # t (ps)        h(t)        n(t)    
  0.169000015       1.22406983      0.346559256    
 # t (ps)        h(t)        n(t)    
  0.169500008       1.17784607      0.347129643    
 # t (ps)        h(t)        n(t)    
  0.170000002       1.27592707      0.347747535    
 # t (ps)        h(t)        n(t)    
  0.170500010       1.32608485      0.348389715    
