   2.46000028      0.505664706    	   2.46000028      0.451558173    	   2.46000028      0.138834924    
   2.47000027      0.505062997    	   2.47000027      0.452089459    	   2.47000027      0.137090668    
   2.48000026      0.504554629    	   2.48000026      0.452506989    	   2.48000026      0.128034011    
   2.49000025      0.503999531    	   2.49000025      0.453000367    	   2.49000025      0.119926162    
   2.50000024      0.503356278    	   2.50000024      0.453554958    	   2.50000024      0.120537922    
   2.51000023      0.502707839    	   2.51000023      0.454103798    	   2.51000023      0.135863364    
   2.52000022      0.502023101    	   2.52000022      0.454696357    	   2.52000022      0.133081451    
   2.53000021      0.501281321    	   2.53000021      0.455349296    	   2.53000021      0.139777482    
   2.54000020      0.500731409    	   2.54000020      0.455816835    	   2.54000020      0.150765330    
   2.55000019      0.500202298    	   2.55000019      0.456257403    	   2.55000019      0.147841454    
   2.56000018      0.499237448    	   2.56000018      0.457146287    	   2.56000018      0.153972059    
   2.57000017      0.498381495    	   2.57000017      0.457914978    	   2.57000017      0.156849876    
   2.58000016      0.497510016    	   2.58000016      0.458695859    	   2.58000016      0.153454050    
   2.59000015      0.496508837    	   2.59000015      0.459607899    	   2.59000015      0.153455392    
   2.60000014      0.495896697    	   2.60000014      0.460103810    	   2.60000014      0.152651280    
   2.61000013      0.495009661    	   2.61000013      0.460890770    	   2.61000013      0.162177458    
   2.62000012      0.494174451    	   2.62000012      0.461606503    	   2.62000012      0.155859634    
   2.63000011      0.493551970    	   2.63000011      0.462136388    	   2.63000011      0.143785626    
   2.64000010      0.492830902    	   2.64000010      0.462759346    	   2.64000010      0.134732500    
   2.65000010      0.492317349    	   2.65000010      0.463164210    	   2.65000010      0.135109633    
   2.66000009      0.491451055    	   2.66000009      0.463923872    	   2.66000009      0.140296593    
   2.67000008      0.490605474    	   2.67000008      0.464670241    	   2.67000008      0.135204449    
   2.68000031      0.490231991    	   2.68000031      0.464921951    	   2.68000031      0.135628194    
   2.69000030      0.489853293    	   2.69000030      0.465189934    	   2.69000030      0.135770425    
   2.70000029      0.489002556    	   2.70000029      0.465962380    	   2.70000029      0.130158916    
   2.71000028      0.488250375    	   2.71000028      0.466598481    	   2.71000028      0.132187113    
   2.72000027      0.487503380    	   2.72000027      0.467257351    	   2.72000027      0.141194999    
   2.73000026      0.486699313    	   2.73000026      0.467937589    	   2.73000026      0.137752548    
   2.74000025      0.486082017    	   2.74000025      0.468447894    	   2.74000025      0.144118875    
   2.75000024      0.485568434    	   2.75000024      0.468854755    	   2.75000024      0.140346438    
   2.76000023      0.485049695    	   2.76000023      0.469266891    	   2.76000023      0.145863399    
   2.77000022      0.483851403    	   2.77000022      0.470397681    	   2.77000022      0.145627677    
   2.78000021      0.483021379    	   2.78000021      0.471123517    	   2.78000021      0.151805431    
   2.79000020      0.482419640    	   2.79000020      0.471613735    	   2.79000020      0.150437504    
   2.80000019      0.482103199    	   2.80000019      0.471807063    	   2.80000019      0.155813843    
   2.81000018      0.481070906    	   2.81000018      0.472781211    	   2.81000018      0.160151973    
   2.82000017      0.480266839    	   2.82000017      0.473520756    	   2.82000017      0.160765097    
   2.83000016      0.479276031    	   2.83000016      0.474444389    	   2.83000016      0.146005094    
   2.84000015      0.478440851    	   2.84000015      0.475199372    	   2.84000015      0.145107761    
   2.85000014      0.477616042    	   2.85000014      0.475954920    	   2.85000014      0.145957127    
   2.86000013      0.476874232    	   2.86000013      0.476589829    	   2.86000013      0.154492795    
   2.87000012      0.476256937    	   2.87000012      0.477108479    	   2.87000012      0.139449388    
   2.88000011      0.475566983    	   2.88000011      0.477700531    	   2.88000011      0.146239713    
   2.89000010      0.474939317    	   2.89000010      0.478242040    	   2.89000010      0.135298476    
   2.90000010      0.474373877    	   2.90000010      0.478712499    	   2.90000010      0.137373522    
   2.91000032      0.473756552    	   2.91000032      0.479232371    	   2.91000032      0.129733294    
   2.92000031      0.473175555    	   2.92000031      0.479709059    	   2.92000031      0.129309013    
   2.93000031      0.472272933    	   2.93000031      0.480527639    	   2.93000031      0.127092808    
   2.94000030      0.471650451    	   2.94000030      0.481059551    	   2.94000030      0.124922924    
